ɂ́ɟɀʇɽʃ,Hîsyêô,Meaning,Verb,Noun,Modifier,Frequentative,Type,Kokanu,I,Origin,Origin IPA,Family,Word Ref,Group,/a/,/o/,/ə/,/u/,/ɪ/,/i/,/ɛ/,/e/,Syllabary,Actual IPA,Length,Rank
ɽɟꞇɟʒʄ,îcîwû,hiccup/spasm,to be a hiccup/spasm,hiccup/spasm,hiccup/spasm-related,,Noun,,î,Tamil இசிவு icivu,/i.ci.ʋu/,Dravidian,îcîwû,Anatomy 303: Anatomical Actions,0,0,0,1,0,2,0,0,îcîwû,/ˈi.t͡ɕi.wu/,5,06.13.06.22.08
ɽ̄ɟʒ̃,îcwon,to inherit (inheritance),to inherit,inheritance,inheritable,,Verb,,î,Mandarin 遺傳 yíchuán,/ji.ʈʂʰwan/,Sino-Tibetan,îcwon,Sociology 201: Family,1,0,0,0,0,1,0,0,îcwan,/ˈit͡ɕ.wɑn/,5,06.13.22.01.21
ɽɟɐ̃ʇɐı,îsênsô,verb,to be a verb,verb,verb-related,,Noun,,î,Zulu isénzo,/iséːnzo/,Niger-Congo,îsênsô,Language 101: Introduction to Hisyëö,0,1,0,0,0,1,0,1,îsênsô,/ˈi.sen.so/,6,06.14.04.21.14
ɽɟɐɟʋı,îsîbô,claw,to be a claw/nail/hoof,claw/nail/hoof,claw/nail/hoof-related,,Noun,ewin,î,Zulu izipho,/íːziːpʰo/,Niger-Congo,îsîbô,Anatomy 204: Intermediate Anatomy I,0,1,0,0,0,2,0,0,îsîbô,/ˈi.si.bo/,5,06.14.06.18.02
ɽ́ɟɔı,îskô,to drink (a drink),to drink/suck,a drink,drinkable/suckable,to slurp/guzzle/pound,Verb,,î,Chickasaw ishko ,,Muskogean,îskô,Nutrition 101: Food & Drink I,0,1,0,0,0,1,0,0,îskô,/ˈis.ko/,4,06.14.10.02.00
ɽ́ɟʋ̃ıɋʃ,îsbônxu,sponge,to be a sponge,sponge,sponge-related,,Noun,,î,Portuguese esponja,/isˈpõ.ʒɐ/,Romance,îsbônxu,Biology 202: Animals III,0,1,1,0,0,1,0,0,îsbônxr,/ˈis.bon.ʃʌ/,7,06.14.18.02.21
ɽɟɋıʓı,îxôlô,problem,to be a problem/affair,problem/affair,problem/affair-related,,Noun,,î,Yoruba iṣoro,/ì.ʃò.ɾō/,Niger-Congo,îxôlô,Communication 202: Basic Communication II,0,2,0,0,0,1,0,0,îxôlô,/ˈi.ʃo.lo/,5,06.15.02.23.02
ɽɟʋʄʌʄ,îbûdû,now,to be the present/current (time),present (time),present/current,,Adjective,iputu,î,Telugu ఇప్పుడు ippuḍu,/ipːuɖu/,Dravidian,îbûdû,Mathematics 202: Relative Time I,0,0,0,2,0,1,0,0,îbûdû,/ˈi.bu.du/,5,06.18.08.16.08
ɽɟʋʄʒʇ,îbûwê,stone,to be a stone/rock,stone/rock,stone/rock-related,,Noun,ipuwe,î,Shona ibwe,,Niger-Congo,îbûwê,Materials 102: Elementary Materials,0,0,0,1,0,1,0,1,îbûwê,/ˈi.bu.we/,5,06.18.08.22.04
ɽɟƶ̃,îmon,to trust (a belief),to trust/believe,a belief,trustable/believable,to be trustful/convinced,Verb,iman,î,Arabic إيمان ʾīmān,/ʔiː.maːn/,Afroasiatic,îmon,Emotion 102: Emotive Actions,1,0,0,0,0,1,0,0,îman,/ˈi.mɑn/,4,06.20.01.21.00
